,Address,ProposedUseDescription,DecisionDate,Decision,CommunityName,Latitude,Longitude,Permit_category_new,CTrain,Year
0,1710 28 AV SW,MULTI-RESIDENTIAL DEVELOPMENT,2017/07/06,Approval,SOUTH CALGARY,51.028706027606525,-114.10044232606691,Multi_unit,False,2017
1,646 SADDLECREEK WY NE,SINGLE DETACHED DWELLING,2017/10/02,Approval,SADDLE RIDGE,51.125887020372886,-113.95468026904749,House,True,2017
3,3805 MARLBOROUGH DR NE,MULTI-RESIDENTIAL DEVELOPMENT,2018/07/24,Approval,MARLBOROUGH,51.059406518852526,-113.97752590853467,Multi_unit,True,2018
4,524 14 AV SW,MULTI-RESIDENTIAL DEVELOPMENT,2018/07/26,Approval,BELTLINE,51.03992742172925,-114.07331811033023,Multi_unit,True,2018
5,817 17 AV NW,MULTI-RESIDENTIAL DEVELOPMENT,2018/10/25,Approval,MOUNT PLEASANT,51.06774342513119,-114.07995322444059,Multi_unit,False,2018
6,7400 80 AV NE,MULTI-RESIDENTIAL DEVELOPMENT,2019/01/08,Approval,SADDLE RIDGE,51.125315925760546,-113.9267882876062,Multi_unit,True,2019
9,2118 3 AV NW,SEMI-DETACHED DWELLING,2019/06/28,Approval,WEST HILLHURST,51.0554605138017,-114.10908384080449,House,False,2019
13,2414 16 AV NW,MULTI-RESIDENTIAL DEVELOPMENT,2019/10/18,Approval,BANFF TRAIL,51.0672351205624,-114.11597534562212,Multi_unit,True,2019
15,229 11 ST NW,SINGLE DETACHED DWELLING,2019/09/06,Approval,HILLHURST,51.05375947625521,-114.08895616441164,House,True,2019
16,24 MAHOGANY PH SE,MULTI-RESIDENTIAL DEVELOPMENT,2019/07/11,Approval,MAHOGANY,50.89656560651875,-113.93311749277454,Multi_unit,False,2019
17,1210 8 AV SE,SINGLE DETACHED DWELLING,2019/08/23,Approval,INGLEWOOD,51.04290714286726,-114.03551068909698,House,False,2019
20,2616 CAPITOL HILL CR NW,SECONDARY SUITE,2019/09/06,Approval,BANFF TRAIL,51.075998870664556,-114.11891758514818,Secondary_suite,True,2019
